date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:29	55266/55266	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:52:40%20GMT	https://validthemes.live/themeforest/farmi/index-2.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/index-2.html	(from )
08:58:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2015:58:29%20GMT	https://validthemes.live/robots.txt		(from )
08:58:32	1679/1679	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Jan%202021%2022:13:34%20GMT	https://validthemes.live/themeforest/farmi/assets/img/favicon.png	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/img/favicon.png	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:34	45633/45633	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/farmi/assets/css/font-awesome.min.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/font-awesome.min.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:35	159515/159515	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Apr%202020%2007:36:50%20GMT	https://validthemes.live/themeforest/farmi/assets/css/bootstrap.min.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/bootstrap.min.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:35	16450/16450	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Feb%202018%2002:07:34%20GMT	https://validthemes.live/themeforest/farmi/assets/css/themify-icons.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/themify-icons.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:36	2894/2894	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Jan%202021%2021:23:14%20GMT	https://validthemes.live/themeforest/farmi/assets/css/flaticon-set.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/flaticon-set.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:37	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/farmi/assets/css/magnific-popup.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/magnific-popup.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:37	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/farmi/assets/css/owl.carousel.min.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/owl.carousel.min.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:38	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/farmi/assets/css/owl.theme.default.min.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/owl.theme.default.min.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:39	69727/69727	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/farmi/assets/css/animate.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/animate.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:39	75365/75365	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Feb%202021%2001:03:46%20GMT	https://validthemes.live/themeforest/farmi/assets/css/bootsnav.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/bootsnav.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:39	23168/23168	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202021%2023:40:08%20GMT	https://validthemes.live/themeforest/farmi/assets/css/responsive.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/css/responsive.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:40	255/255	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Aug%202018%2023:45:18%20GMT	https://validthemes.live/themeforest/farmi/assets/img/100x100.png	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/img/100x100.png	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:40	118512/118512	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Feb%202021%2004:26:54%20GMT	https://validthemes.live/themeforest/farmi/style.css	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/style.css	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:40	8859/8859	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2014:06:33%20GMT	https://validthemes.live/themeforest/farmi/index.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/index.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:41	3767/3767	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Jan%202021%2022:08:20%20GMT	https://validthemes.live/themeforest/farmi/assets/img/logo-light.png	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/img/logo-light.png	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:41	3945/3945	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Jan%202021%2022:06:00%20GMT	https://validthemes.live/themeforest/farmi/assets/img/logo.png	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/assets/img/logo.png	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:42	53844/53844	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:22:46%20GMT	https://validthemes.live/themeforest/farmi/index-1.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/index-1.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:42	60992/60992	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2018:02:27%20GMT	https://validthemes.live/themeforest/farmi/index-3.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/index-3.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:43	38703/38703	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:52:08%20GMT	https://validthemes.live/themeforest/farmi/about-us.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/about-us.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:43	35678/35678	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:52:50%20GMT	https://validthemes.live/themeforest/farmi/services.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/services.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:43	30887/30887	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:52:54%20GMT	https://validthemes.live/themeforest/farmi/team.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/team.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
08:58:44	23938/23938	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2000:52:32%20GMT	https://validthemes.live/themeforest/farmi/contact.html	D:/DATA/mOYO/Final%20year/farmy2/validthemes.live/themeforest/farmi/contact.html	(from https://validthemes.live/themeforest/farmi/index-2.html)
